ID,Name,Salary,Team,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGPER,TPM,TPA,TPPER,FTM,FTA,FTPER,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUSMINUS,Position,Country,Draft Round,Draft Number,SGap
232,Troy Daniels,3408520,PHX,26,76,19,57,20.8,9.2,3,7.4,40.8,2.4,5.9,40.4,0.7,0.8,87.5,0.2,1.5,1.6,0.6,0.7,0.3,0.1,1.8,12.5,0,0,-4.9,G,USA,Undrafted,Undrafted,1
233,Emmanuel Mudiay,3381480,NYK,22,61,28,33,19.6,9,3.3,8.4,39.3,0.8,2.4,32.6,1.6,2.1,76,0.4,2,2.4,3.3,1.8,0.7,0.2,1.3,17.6,1,0,-4.1,G,Democratic Re...,1,7,1
234,Jamal Murray,3355320,DEN,21,75,41,34,31.2,16.5,5.9,13,45,2.1,5.4,38.5,2.7,3,90.7,1,2.7,3.7,3.3,2.2,1,0.3,2.1,27.7,1,0,2.2,G,Canada,1,7,1
235,Elfrid Payton,3332340,PHX,24,63,13,50,28.7,12.7,5.2,10.6,49.3,0.5,1.5,32.6,1.7,2.7,64.9,1,3.3,4.3,6.2,2.7,1.3,0.3,2.3,29.6,8,2,-7.3,G,USA,1,10,1
236,Rajon Rondo,3300000,NOP,32,59,36,23,25.9,8.2,3.5,7.5,46.3,0.8,2.2,34.1,0.4,0.7,58.1,0.5,3.5,3.9,7.9,2.2,1,0.2,1.8,26.1,13,2,-1.2,G,USA,1,21,1
237,Doug McDermott,3294994,DAL,26,76,29,47,22,7.8,2.9,6.2,47,1.2,2.6,43.8,0.8,1,79.2,0.5,2,2.5,1,0.7,0.3,0.2,1.5,12.9,0,0,-0.1,F,USA,1,11,1
238,Jodie Meeks,3290000,WAS,30,71,40,31,14.9,6.3,2,5.2,39.1,0.9,2.7,32.5,1.4,1.6,87.5,0.2,1.4,1.6,0.9,0.5,0.4,0.1,0.7,10.6,0,0,-1.8,G,USA,2,41,1
239,Tyreke Evans,3290000,MEM,28,52,19,33,30.9,19.4,7,15.6,45.2,2.2,5.5,39.9,3.2,4,78.5,0.8,4.3,5.1,5.2,2.3,1.1,0.3,1.8,35.3,7,0,0.5,G,USA,1,4,1
240,Tarik Black,3290000,HOU,26,46,37,9,10.1,3.5,1.5,2.5,60.2,0,0.2,0,0.5,1.2,45.3,1.3,1.8,3,0.3,0.7,0.4,0.6,2.1,9.8,1,0,-1.2,F,USA,Undrafted,Undrafted,1
241,Anthony Tolliver,3290000,DET,32,72,33,39,21.2,8.1,2.5,5.6,44.1,1.8,4.4,41.1,1.3,1.6,82.3,0.6,2.3,2.9,1.1,0.7,0.4,0.3,1.7,14.4,0,0,-0.2,F,USA,Undrafted,Undrafted,1
242,Dennis Smith Jr.,3218280,DAL,20,65,21,44,29.5,15.2,5.8,14.8,39.5,1.6,4.9,31.7,2,2.9,69.5,0.7,3,3.7,5,2.8,1,0.2,2.2,28.1,5,1,-4.8,G,USA,1,9,1
243,Zach LaVine,3202217,CHI,23,24,9,15,27.3,16.7,5.7,14.8,38.3,1.8,5.1,34.1,3.6,4.5,81.3,0.4,3.5,3.9,3,1.8,1,0.2,2.3,27.6,0,0,-7.2,G,USA,1,13,1
244,Ekpe Udoh,3200000,UTA,30,58,32,26,13.4,2.7,1,2,50.4,0,0,0,0.7,0.9,75.9,1.1,1.4,2.5,0.9,0.3,0.7,1.2,1.7,12.5,0,0,1,C,USA,1,6,1
245,TJ Warren,3152931,PHX,24,65,18,47,33,19.6,8.1,16.4,49.8,0.3,1.4,22.2,3,3.9,75.7,1.9,3.2,5.1,1.3,1.3,1,0.6,2.3,31.2,6,0,-6.7,F,USA,1,14,1
246,Stanley Johnson,3097800,DET,21,62,29,33,27.1,8.3,2.9,7.9,36.8,0.9,3.3,28.2,1.6,2,79.2,0.5,3.2,3.7,1.5,1.1,1.3,0.2,2.5,18.5,2,0,-0.6,F,USA,1,8,1
247,Marquese Chriss,3073800,PHX,20,69,18,51,20.9,7.3,2.7,6.4,41.6,0.8,2.7,29.5,1.2,2,58.9,1,4.3,5.3,1.2,1.4,0.7,1,2.8,19.1,5,0,-4,F,USA,1,8,1
248,Zach Collins,3057240,POR,20,60,39,21,15.6,4.5,1.8,4.3,41.2,0.5,1.6,33,0.4,0.6,65.8,0.7,2.6,3.3,0.8,0.9,0.3,0.5,2.1,11,0,0,0.9,C,USA,1,10,1
249,James Ennis III,3028410,DET,27,66,22,44,22.9,7.3,2.6,5.4,47.7,0.7,2.1,33.8,1.4,1.7,83.3,1.1,2.2,3.3,1,0.8,0.7,0.3,1.9,14.8,1,0,-3.2,F,USA,2,50,1
250,Mindaugas Kuzminskas,3025035,NYK,28,1,0,1,1.9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,Lithuania,Undrafted,Undrafted,1
251,Tomas Satoransky,3000000,WAS,26,66,37,29,22,7.1,2.7,5.1,52.2,0.7,1.4,46.7,1.1,1.4,77.7,0.9,2.1,3,3.9,1.1,0.7,0.2,1.8,18.3,0,0,1.4,G,Czech Republi...,2,32,1
252,Lucas Nogueira,2947305,TOR,25,45,33,12,8.5,2.5,1,1.6,60.3,0.1,0.4,27.8,0.4,0.6,67.9,0.4,1.5,1.8,0.4,0.3,0.4,0.9,1,9.1,0,0,1.3,C,Brazil,1,16,1
253,Jusuf Nurkic,2947305,POR,23,73,46,27,26.2,14.4,6,12.1,50.1,0,0.1,0,2.3,3.5,64.3,2.3,6.4,8.7,1.8,2.3,0.8,1.4,3.1,31.9,23,0,2.3,C,Bosnia & Herz...,1,16,1
254,Malik Monk,2904480,CHA,20,57,24,33,12.4,5.3,1.9,5.8,33,1.1,3.3,32.4,0.4,0.5,77.8,0.1,0.9,1.1,1.2,0.6,0.3,0.1,0.9,8.9,0,0,-3.7,G,USA,1,11,1
255,Frank Kaminsky,2847600,CHA,24,73,33,40,23.1,11,3.8,9,42.8,1.3,3.4,38.6,2,2.5,79,0.6,3,3.6,1.6,0.8,0.5,0.2,1.2,19.1,0,0,-1,F,USA,1,9,1
256,Jakob Poeltl,2825640,TOR,22,75,55,20,18.3,6.7,3,4.7,64,0,0,50,0.7,1.3,58.5,2.1,2.7,4.7,0.7,1,0.4,1.3,2.6,17.6,3,0,3.7,C,Austria,1,9,1
257,Luke Kennard,2759280,DET,21,66,30,36,19.2,7.1,2.7,6,44,1,2.6,39.5,0.8,0.9,86.4,0.3,2,2.3,1.6,0.9,0.6,0.2,1.1,13.6,1,0,1.7,G,USA,1,12,1
258,Justise Winslow,2705040,MIA,22,62,30,32,24.3,7.5,2.9,6.9,42.3,0.8,1.9,40.5,1,1.5,64.1,0.9,4.5,5.4,2.1,1.1,0.8,0.5,2.1,20,2,0,1,F,USA,1,10,1
259,Michael Carter-Williams,2700000,CHA,26,52,23,29,16.1,4.6,1.5,4.4,33.2,0.3,1.1,23.7,1.4,1.7,82,0.7,1.9,2.7,2.2,1,0.8,0.4,1.9,14,0,0,-1.2,G,USA,1,11,1
